lead_id,name,email,mobile,company,website,source,industry,followups,score,isConverted
L00001,Catherine Graham,murphyjames@example.org,3026737569,"Holloway, Sullivan and Daniel",https://www.avila.com/,Website,Finance,0,36,No
L00002,Kathryn Harrison,jacksonsamantha@example.net,0579456705,"Arnold, Washington and Beasley",http://www.johnson.info/,Email Campaign,IT,0,69,Yes
L00003,Ronald Martin,graveswayne@example.net,1431357576,"Price, Cruz and Mcdonald",http://hines.com/,Event,Finance,2,94,Yes
L00004,David Fischer,flynnlaura@example.net,0015814304,Wilson-Jones,http://reynolds.org/,Partner,Education,1,90,Yes
L00005,Jeremy Williams,paul32@example.org,0500362699,"Padilla, Cruz and Santiago",http://www.jones.biz/,Event,Retail,6,57,No
L00006,Shelby White,johnmartin@example.net,2416103039,Jones LLC,https://www.johnson.com/,LinkedIn,Finance,2,33,No
L00007,Kevin Warren,nwheeler@example.com,7138744169,"Page, White and Jones",http://www.bates-hale.com/,Email Campaign,Retail,9,47,No
L00008,Robert White,markmckinney@example.org,1455465856,"Perry, Flores and Holt",https://powers-gibson.org/,Partner,Retail,0,21,No
L00009,Patricia Herrera,jamie36@example.org,2830979151,Chandler-Stevenson,https://www.arnold.info/,LinkedIn,IT,8,57,No
L00010,Samuel Montgomery,nkeller@example.net,5118377695,Santos PLC,https://garcia-brown.com/,Website,Education,4,57,No
L00011,Edward Clay,kevinrose@example.org,7631072232,Harris Inc,https://www.anderson.com/,Website,Healthcare,7,53,No
L00012,Samantha Hoffman,matthewtorres@example.org,0947655137,Norman Ltd,http://ramos-blake.info/,Referral,IT,8,61,Yes
L00013,Dr. Shelly Snyder,uhill@example.com,6437680492,"Cooley, Meyer and Perez",http://www.hopkins.com/,Cold Call,Healthcare,6,42,No
L00014,Brenda Fowler,reyessean@example.org,6427996290,Smith Group,http://ellis.biz/,Website,Healthcare,6,76,Yes
L00015,Gregory Nielsen,kfranklin@example.com,4390432958,"Perez, Thomas and Horton",http://smith-travis.biz/,Email Campaign,Retail,2,70,No
L00016,Christina Alvarez,adamsmichael@example.net,0550698338,Williams LLC,http://hudson.info/,LinkedIn,Healthcare,6,46,No
L00017,Shawn Smith,joshua24@example.com,7141792740,Graves Ltd,https://www.gibson.com/,LinkedIn,Retail,3,70,Yes
L00018,Patty Miller,vmay@example.net,6748196151,Williams-Garcia,https://www.lopez-roth.com/,Email Campaign,Retail,4,73,Yes
L00019,James Smith,vaughnlori@example.org,5474436186,Edwards PLC,https://www.duffy.org/,Cold Call,Healthcare,7,23,No
L00020,Amy Lawson,zyoung@example.net,2481403526,"Pearson, Rodriguez and Robinson",https://chan.org/,Event,Finance,10,46,No
L00021,Katherine Ortega,candacewilson@example.org,9838272144,Beltran LLC,http://www.miles.org/,Partner,Finance,9,61,Yes
L00022,Jerome Russell,kelly52@example.org,5085423207,"Weaver, Dominguez and Blanchard",http://www.rivera.info/,Event,IT,6,30,Yes
L00023,Morgan Robinson,gracewade@example.com,5964265869,English LLC,http://www.stewart.com/,Email Campaign,Retail,7,25,No
L00024,Robert Pratt,xclark@example.net,3736074416,Harris-Caldwell,https://www.mckinney.com/,Event,Healthcare,8,82,Yes
L00025,John Baker,kimberly44@example.com,0149367370,Thomas and Sons,http://www.allen.com/,Referral,Finance,3,20,No
L00026,Julie May,xburke@example.org,2411694605,Bell Inc,http://www.curtis-reilly.com/,Event,Retail,0,82,Yes
L00027,Joshua Smith,michael44@example.net,5049134785,Morgan-Garza,http://www.marshall-garcia.org/,Referral,Manufacturing,8,93,Yes
L00028,Rebecca Harrison,nancy25@example.org,3889086006,"Rodgers, Flores and Decker",https://maddox-rogers.com/,Email Campaign,IT,3,21,No
L00029,Ms. Robin Johnson,justin60@example.com,5701163308,Hensley-Huerta,https://www.richardson.org/,Website,Retail,1,94,No
L00030,Philip Mitchell,stephenmckee@example.com,5056758182,Hill and Sons,https://www.smith.com/,Referral,Finance,0,40,No
L00031,Justin Ramos,gordonjerry@example.com,1678281150,"Gonzales, Green and Wagner",http://www.reyes.com/,Website,Education,4,91,Yes
L00032,Tony Lewis,diana25@example.org,8851645849,Torres and Sons,http://mcmahon-frost.com/,Referral,Education,8,34,Yes
L00033,Robert Herring,benjaminfranco@example.com,6840116941,"Dodson, Obrien and Price",https://wilson.org/,Partner,Finance,9,23,No
L00034,Misty Mckay,davidvelez@example.net,7195742973,Warren-Roberts,https://richardson-faulkner.com/,Cold Call,IT,6,48,No
L00035,Shelley Mccormick,jacksonsteven@example.org,3631438891,Gibson-Vargas,https://curry.net/,Cold Call,IT,9,91,Yes
L00036,Thomas Stone,lorirodriguez@example.net,7424986278,"Garcia, Lopez and Anderson",http://www.contreras.com/,Partner,Finance,4,42,No
L00037,Cody Shannon,barbarajohnston@example.net,3915854449,Richards and Sons,http://barajas-peterson.com/,Email Campaign,IT,0,54,No
L00038,Lisa Blevins,cmoran@example.net,4843323653,"Berry, Leon and Wallace",https://www.shepard.biz/,Partner,Manufacturing,2,47,No
L00039,James Conley,rreynolds@example.com,7707420477,"Good, Bennett and Lopez",http://rodriguez.com/,LinkedIn,Healthcare,1,50,No
L00040,Jacob Martinez,rodriguezmatthew@example.org,7456213954,Bradford Group,http://holmes-stephens.net/,Email Campaign,Finance,0,35,No
L00041,Felicia Chang,christopherjohnson@example.org,5715226731,"Williams, Mccormick and Avery",http://schmidt.net/,Partner,Finance,5,38,No
L00042,Carlos Bailey,martinezmichael@example.org,4693207466,Poole-Edwards,http://simmons.com/,Cold Call,Education,1,25,No
L00043,Natalie Gordon,jessica34@example.org,7652274402,Ellis-Walker,https://mendoza.net/,Referral,Manufacturing,4,42,No
